sequence	md5	length	database	accession	description	start	end	evalue	post_processed	date	entry	name
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	1085	1167	1.5E-12	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	1746	1822	1.2E-14	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	612	696	2.2E-15	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	2298	2380	1.1E-15	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	2392	2474	1.5E-14	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	1651	1729	1.7E-12	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	1171	1258	2.2E-20	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	4079	4165	3.7E-15	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Pfam	PF07679	Immunoglobulin I-set domain	2202	2286	6.0E-12	T	13-03-2023	IPR013098	Immunoglobulin I-set
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	SUPERFAMILY	SSF48726	Immunoglobulin	981	1074	1.05E-17	T	13-03-2023	IPR036179	Immunoglobulin-like domain superfamily
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	ProSiteProfiles	PS50835	Ig-like domain profile.	3340	3429	11.115732	T	13-03-2023	IPR007110	Immunoglobulin-like domain
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	SUPERFAMILY	SSF48726	Immunoglobulin	4347	4446	2.44E-22	T	13-03-2023	IPR036179	Immunoglobulin-like domain superfamily
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	1082	1172	1.8E-20	T	13-03-2023	IPR013783	Immunoglobulin-like fold
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	FunFam	G3DSA:2.60.40.10:FF:000990	Hemicentin 1	700	792	7.9E-53	T	13-03-2023	-	-
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	433	518	6.9E-7	T	13-03-2023	IPR013783	Immunoglobulin-like fold
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	ProSiteProfiles	PS50835	Ig-like domain profile.	2195	2285	12.186563	T	13-03-2023	IPR007110	Immunoglobulin-like domain
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Gene3D	G3DSA:2.20.100.10	-	4584	4640	2.1E-18	T	13-03-2023	IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Gene3D	G3DSA:2.20.100.10	-	4641	4697	3.4E-18	T	13-03-2023	IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Gene3D	G3DSA:2.20.100.10	-	4755	4811	3.3E-16	T	13-03-2023	IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Gene3D	G3DSA:2.20.100.10	-	4698	4754	1.2E-16	T	13-03-2023	IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
sp|Q96RW7|HMCN1_HUMAN	72d9c6ce5db82162ff65dfdaeb429a89	5635	Gene3D	G3DSA:2.20.100.10	-	4530	4583	1.3E-17	T	13-03-2023	IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	FunFam	G3DSA:3.40.50.300:FF:000795	Tetratricopeptide repeat protein 25	49	181	1.1E-68	T	13-03-2023	-	-
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	FunFam	G3DSA:3.90.1740.10:FF:000001	Tetratricopeptide repeat protein 25	182	399	4.2E-128	T	13-03-2023	-	-
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	Gene3D	G3DSA:3.90.1740.10	-	182	399	9.7E-88	T	13-03-2023	-	-
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	Pfam	PF05881	2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)	186	420	0.0	T	13-03-2023	IPR047325	Cyclic nucleotide phosphodiesterase, catalytic domain
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	Pfam	PF13671	AAA domain	52	157	6.5E-8	T	13-03-2023	-	-
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	PIRSF	PIRSF000970	2_3-cyc_nuc_Pdiesterase	1	421	0.0	T	13-03-2023	IPR008431	Cyclic nucleotide phosphodiesterase
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	51	187	1.57E-12	T	13-03-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	Gene3D	G3DSA:3.40.50.300	-	49	181	3.3E-18	T	13-03-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	PANTHER	PTHR10156	2',3'-CYCLIC-NUCLEOTIDE 3'-PHOSPHODIESTERASE	1	421	0.0	T	13-03-2023	IPR008431	Cyclic nucleotide phosphodiesterase
sp|P09543|CN37_HUMAN	6016e8f00d8502aa22d03f34ac987d90	421	SUPERFAMILY	SSF55144	LigT-like	181	399	1.15E-105	T	13-03-2023	IPR009097	Cyclic phosphodiesterase
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	PRINTS	PR00042	Fos transforming protein signature	19	35	3.8E-9	T	13-03-2023	IPR000837	AP-1 transcription factor
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	PRINTS	PR00042	Fos transforming protein signature	36	52	3.8E-9	T	13-03-2023	IPR000837	AP-1 transcription factor
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	PRINTS	PR00042	Fos transforming protein signature	54	75	3.8E-9	T	13-03-2023	IPR000837	AP-1 transcription factor
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	PRINTS	PR00042	Fos transforming protein signature	75	98	3.8E-9	T	13-03-2023	IPR000837	AP-1 transcription factor
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	PANTHER	PTHR23351	FOS TRANSCRIPTION FACTOR-RELATED	1	125	3.8E-44	T	13-03-2023	IPR000837	AP-1 transcription factor
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	13-03-2023	-	-
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	ProSitePatterns	PS00036	Basic-leucine zipper (bZIP) domain signature.	32	46	-	T	13-03-2023	IPR004827	Basic-leucine zipper domain
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	Pfam	PF00170	bZIP transcription factor	27	81	7.4E-13	T	13-03-2023	IPR004827	Basic-leucine zipper domain
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	CDD	cd14701	bZIP_BATF	26	83	8.75468E-24	T	13-03-2023	-	-
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	SMART	SM00338	brlzneu	24	88	1.3E-18	T	13-03-2023	IPR004827	Basic-leucine zipper domain
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	Coils	Coil	Coil	44	85	-	T	13-03-2023	-	-
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	FunFam	G3DSA:1.20.5.170:FF:000043	Basic leucine zipper transcriptional factor ATF-like	27	89	2.2E-35	T	13-03-2023	-	-
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	Gene3D	G3DSA:1.20.5.170	-	28	89	8.8E-17	T	13-03-2023	-	-
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	MobiDBLite	mobidb-lite	consensus disorder prediction	21	41	-	T	13-03-2023	-	-
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	MobiDBLite	mobidb-lite	consensus disorder prediction	1	58	-	T	13-03-2023	-	-
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	SUPERFAMILY	SSF57959	Leucine zipper domain	26	82	1.56E-13	T	13-03-2023	IPR046347	Basic-leucine zipper domain superfamily
sp|Q16520|BATF_HUMAN	8b28c8e902dc8d6b8b45008baa0cae2d	125	ProSiteProfiles	PS50217	Basic-leucine zipper (bZIP) domain profile.	26	89	12.759755	T	13-03-2023	IPR004827	Basic-leucine zipper domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	CDD	cd00032	CASc	275	497	5.52774E-98	T	13-03-2023	IPR015917	Peptidase C14A, caspase catalytic domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	FunFam	G3DSA:3.40.50.1460:FF:000014	Caspase 10, apoptosis-related cysteine peptidase	268	504	6.6E-126	T	13-03-2023	-	-
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	CDD	cd08814	DED_Caspase_10_r2	112	190	1.51845E-41	T	13-03-2023	IPR035701	Caspase-10, death effector domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	PANTHER	PTHR48169	DED DOMAIN-CONTAINING PROTEIN	18	486	2.5E-84	T	13-03-2023	-	-
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	Gene3D	G3DSA:3.40.50.1460	-	255	500	9.7E-72	T	13-03-2023	-	-
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	FunFam	G3DSA:1.10.533.10:FF:000038	Caspase 10	16	112	1.3E-42	T	13-03-2023	-	-
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	CDD	cd08341	DED_Caspase_10_r1	18	99	3.99898E-38	T	13-03-2023	-	-
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	Gene3D	G3DSA:1.10.533.10	Death Domain, Fas	16	112	3.3E-19	T	13-03-2023	IPR011029	Death-like domain superfamily
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	ProSiteProfiles	PS50168	Death effector domain (DED) profile.	114	187	20.144018	T	13-03-2023	IPR001875	Death effector domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	SUPERFAMILY	SSF47986	DEATH domain	19	124	3.65E-25	T	13-03-2023	IPR011029	Death-like domain superfamily
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	SMART	SM00115	caspase_2	275	517	1.8E-111	T	13-03-2023	IPR015917	Peptidase C14A, caspase catalytic domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	FunFam	G3DSA:1.10.533.10:FF:000070	Caspase 10	113	231	1.3E-70	T	13-03-2023	-	-
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	SUPERFAMILY	SSF52129	Caspase-like	270	472	1.0E-67	T	13-03-2023	IPR029030	Caspase-like domain superfamily
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	PRINTS	PR00376	Interleukin-1B converting enzyme signature	282	295	2.8E-27	T	13-03-2023	IPR015917	Peptidase C14A, caspase catalytic domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	PRINTS	PR00376	Interleukin-1B converting enzyme signature	300	318	2.8E-27	T	13-03-2023	IPR015917	Peptidase C14A, caspase catalytic domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	PRINTS	PR00376	Interleukin-1B converting enzyme signature	318	336	2.8E-27	T	13-03-2023	IPR015917	Peptidase C14A, caspase catalytic domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	PRINTS	PR00376	Interleukin-1B converting enzyme signature	351	359	2.8E-27	T	13-03-2023	IPR015917	Peptidase C14A, caspase catalytic domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	PRINTS	PR00376	Interleukin-1B converting enzyme signature	386	404	2.8E-27	T	13-03-2023	IPR015917	Peptidase C14A, caspase catalytic domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	PRINTS	PR00376	Interleukin-1B converting enzyme signature	448	459	2.8E-27	T	13-03-2023	IPR015917	Peptidase C14A, caspase catalytic domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	ProSiteProfiles	PS50207	Caspase family p10 domain profile.	430	468	18.359379	T	13-03-2023	IPR002138	Peptidase C14, caspase non-catalytic subunit p10
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	Pfam	PF00656	Caspase domain	283	482	4.0E-35	T	13-03-2023	IPR011600	Peptidase C14, caspase domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	Pfam	PF01335	Death effector domain	115	191	2.5E-19	T	13-03-2023	IPR001875	Death effector domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	Pfam	PF01335	Death effector domain	20	100	5.4E-20	T	13-03-2023	IPR001875	Death effector domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	ProSitePatterns	PS01122	Caspase family cysteine active site.	392	403	-	T	13-03-2023	IPR033139	Peptidase family C14A, cysteine active site
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	ProSiteProfiles	PS50168	Death effector domain (DED) profile.	19	97	22.628302	T	13-03-2023	IPR001875	Death effector domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	ProSiteProfiles	PS50208	Caspase family p20 domain profile.	282	405	41.855713	T	13-03-2023	IPR001309	Peptidase C14, p20 domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	ProSitePatterns	PS01121	Caspase family histidine active site.	345	359	-	T	13-03-2023	IPR016129	Peptidase family C14A, His active site
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	SMART	SM00031	ded_6	18	97	2.7E-26	T	13-03-2023	IPR001875	Death effector domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	SMART	SM00031	ded_6	113	188	7.9E-23	T	13-03-2023	IPR001875	Death effector domain
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	Gene3D	G3DSA:1.10.533.10	Death Domain, Fas	113	231	2.4E-20	T	13-03-2023	IPR011029	Death-like domain superfamily
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	SUPERFAMILY	SSF47986	DEATH domain	112	189	5.65E-15	T	13-03-2023	IPR011029	Death-like domain superfamily
sp|Q92851|CASPA_HUMAN	b6304253f4a25f5f161fc72b2e95a8da	521	MobiDBLite	mobidb-lite	consensus disorder prediction	231	269	-	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	MobiDBLite	mobidb-lite	consensus disorder prediction	74	93	-	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	19	-	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	FunFam	G3DSA:2.10.90.10:FF:000037	neurturin	95	197	3.7E-57	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	6	14	-	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	5	-	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	20	197	-	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	PANTHER	PTHR12173	GDNF SUBFAMILY OF TGF-BETA FAMILY	1	197	2.1E-56	T	13-03-2023	IPR043401	Glial cell line-derived neurotrophic factor family
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	15	19	-	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	ProSiteProfiles	PS51362	TGF-beta family profile.	90	197	17.884989	T	13-03-2023	IPR001839	Transforming growth factor-beta, C-terminal
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	SUPERFAMILY	SSF57501	Cystine-knot cytokines	101	196	2.86E-20	T	13-03-2023	IPR029034	Cystine-knot cytokine
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	Pfam	PF00019	Transforming growth factor beta like domain	103	196	9.1E-14	T	13-03-2023	IPR001839	Transforming growth factor-beta, C-terminal
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	CDD	cd19383	TGF_beta_Neurturin	103	197	1.22796E-44	T	13-03-2023	-	-
sp|Q99748|NRTN_HUMAN	d73ba0f2cd3fdbd959bd2030e5e4d9d1	197	Gene3D	G3DSA:2.10.90.10	-	96	197	8.5E-35	T	13-03-2023	IPR029034	Cystine-knot cytokine
sp|Q9HC62|SENP2_HUMAN	4eb15448eacd2d1f99898bb0f1efd9e1	589	Pfam	PF02902	Ulp1 protease family, C-terminal catalytic domain	410	580	5.6E-40	T	13-03-2023	IPR003653	Ulp1 protease family, C-terminal catalytic domain
sp|Q9HC62|SENP2_HUMAN	4eb15448eacd2d1f99898bb0f1efd9e1	589	FunFam	G3DSA:3.40.395.10:FF:000001	Sentrin-specific protease 1	356	589	1.4E-114	T	13-03-2023	-	-
sp|Q9HC62|SENP2_HUMAN	4eb15448eacd2d1f99898bb0f1efd9e1	589	Gene3D	G3DSA:3.40.395.10	Adenoviral Proteinase; Chain A	364	589	9.0E-86	T	13-03-2023	-	-
sp|Q9HC62|SENP2_HUMAN	4eb15448eacd2d1f99898bb0f1efd9e1	589	SUPERFAMILY	SSF54001	Cysteine proteinases	365	587	1.45E-78	T	13-03-2023	IPR038765	Papain-like cysteine peptidase superfamily
sp|Q9HC62|SENP2_HUMAN	4eb15448eacd2d1f99898bb0f1efd9e1	589	MobiDBLite	mobidb-lite	consensus disorder prediction	155	176	-	T	13-03-2023	-	-
sp|Q9HC62|SENP2_HUMAN	4eb15448eacd2d1f99898bb0f1efd9e1	589	PANTHER	PTHR12606	SENTRIN/SUMO-SPECIFIC PROTEASE	150	582	6.4E-62	T	13-03-2023	-	-
sp|Q9HC62|SENP2_HUMAN	4eb15448eacd2d1f99898bb0f1efd9e1	589	ProSiteProfiles	PS50600	Ubiquitin-like protease family profile.	395	559	28.212379	T	13-03-2023	IPR003653	Ulp1 protease family, C-terminal catalytic domain
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	11	-	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Pfam	PF02894	Oxidoreductase family, C-terminal alpha/beta domain	134	271	3.9E-5	T	13-03-2023	IPR004104	Gfo/Idh/MocA-like oxidoreductase, C-terminal
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	16	-	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	17	385	-	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Pfam	PF01408	Oxidoreductase family, NAD-binding Rossmann fold	7	109	1.0E-11	T	13-03-2023	IPR000683	Gfo/Idh/MocA-like oxidoreductase, N-terminal
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	SUPERFAMILY	SSF55347	Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain	128	275	1.6E-23	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	PANTHER	PTHR43818	BCDNA.GH03377	3	369	9.9E-105	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Gene3D	G3DSA:3.30.360.10	Dihydrodipicolinate Reductase; domain 2	127	363	1.1E-34	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	FunFam	G3DSA:3.40.50.720:FF:000233	Glucose-fructose oxidoreductase domain-containing protein 2	3	113	6.5E-71	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	FunFam	G3DSA:3.30.360.10:FF:000025	Glucose-fructose oxidoreductase domain-containing protein 2	127	363	0.0	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	6	151	2.71E-26	T	13-03-2023	IPR036291	NAD(P)-binding domain superfamily
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	12	16	-	T	13-03-2023	-	-
sp|Q3B7J2|GFOD2_HUMAN	6066bffeec44cc8650594bcc4c5e9563	385	Gene3D	G3DSA:3.40.50.720	-	2	113	7.7E-15	T	13-03-2023	-	-
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	SUPERFAMILY	SSF50044	SH3-domain	5	61	3.15E-17	T	13-03-2023	IPR036028	SH3-like domain superfamily
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	SMART	SM00252	SH2_5	280	362	2.9E-31	T	13-03-2023	IPR000980	SH2 domain
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	Pfam	PF14604	Variant SH3 domain	113	161	1.7E-12	T	13-03-2023	IPR001452	SH3 domain
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	ProSiteProfiles	PS50002	Src homology 3 (SH3) domain profile.	106	165	23.735487	T	13-03-2023	IPR001452	SH3 domain
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	Gene3D	G3DSA:3.30.505.10	SH2 domain	278	377	5.0E-30	T	13-03-2023	IPR036860	SH2 domain superfamily
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	CDD	cd11904	SH3_Nck1_3	193	249	6.84923E-40	T	13-03-2023	IPR035565	Nck1, SH3 domain 3
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	Gene3D	G3DSA:2.30.30.40	SH3 Domains	93	178	1.8E-32	T	13-03-2023	-	-
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	CDD	cd10408	SH2_Nck1	280	376	5.03381E-73	T	13-03-2023	IPR035882	Nck1, SH2 domain
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	FunFam	G3DSA:2.30.30.40:FF:000126	Cytoplasmic protein	95	178	1.1E-51	T	13-03-2023	-	-
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	PRINTS	PR00452	SH3 domain signature	5	15	1.8E-8	T	13-03-2023	IPR001452	SH3 domain
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	PRINTS	PR00452	SH3 domain signature	123	138	1.8E-8	T	13-03-2023	IPR001452	SH3 domain
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	PRINTS	PR00452	SH3 domain signature	140	149	1.8E-8	T	13-03-2023	IPR001452	SH3 domain
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	PRINTS	PR00452	SH3 domain signature	151	163	1.8E-8	T	13-03-2023	IPR001452	SH3 domain
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	PIRSF	PIRSF037874	NCK	1	377	0.0	T	13-03-2023	IPR017304	Cytoplasmic protein NCK
sp|P16333|NCK1_HUMAN	e8c571a646fa824507b79bb581464cbf	377	PRINTS	PR00401	SH2 domain signature	282	296	2.3E-13	T	13-03-2023	IPR000980	SH2 domain
